frame,track,x1,y1,x2,y2,cx,cy,height,score,level
263,1,435.2,166.0,542.1,352.7,488.7,259.3,186.7,0.000,GREEN
263,2,480.0,45.3,556.7,210.4,518.4,127.9,165.1,0.000,GREEN
264,1,435.7,164.4,540.7,355.6,488.2,260.0,191.3,0.000,GREEN
264,2,478.2,47.1,558.0,214.7,518.1,130.9,167.5,0.000,GREEN
265,2,479.7,47.9,559.4,216.4,519.6,132.1,168.5,0.000,GREEN
265,1,435.0,163.5,538.7,351.6,486.9,257.5,188.1,0.000,GREEN
266,1,436.2,163.2,538.3,351.6,487.3,257.4,188.4,0.000,GREEN
266,2,481.0,47.9,561.7,215.2,521.4,131.5,167.4,0.250,GREEN
267,2,480.9,47.8,561.8,215.2,521.3,131.5,167.4,0.250,GREEN
267,1,436.1,162.9,539.2,351.4,487.6,257.1,188.5,0.000,GREEN
268,1,434.5,161.5,538.0,351.0,486.3,256.2,189.5,0.000,GREEN
268,2,480.4,46.7,565.1,215.6,522.8,131.1,169.0,0.250,GREEN
269,1,434.9,162.2,538.2,351.3,486.5,256.8,189.0,0.000,GREEN
269,2,480.3,46.3,566.4,215.3,523.4,130.8,169.0,0.000,GREEN
270,2,481.1,47.3,567.2,215.0,524.2,131.1,167.7,0.000,GREEN
270,1,434.8,161.1,536.9,349.3,485.9,255.2,188.2,0.000,GREEN
271,1,435.5,160.0,537.5,349.4,486.5,254.7,189.4,0.000,GREEN
271,2,482.4,47.9,567.2,213.6,524.8,130.8,165.8,0.000,GREEN
272,2,482.5,48.0,567.1,213.6,524.8,130.8,165.6,0.000,GREEN
272,1,434.6,161.0,536.7,349.0,485.6,255.0,187.9,0.000,GREEN
273,1,435.2,161.2,536.3,349.2,485.8,255.2,188.1,0.000,GREEN
273,2,483.8,47.4,568.5,213.5,526.2,130.4,166.1,0.250,GREEN
274,1,436.8,161.4,534.7,349.0,485.7,255.2,187.6,0.000,GREEN
274,2,485.9,48.8,567.7,212.2,526.8,130.5,163.4,0.000,GREEN
275,2,486.2,49.5,567.4,211.8,526.8,130.7,162.3,0.000,GREEN
275,1,438.1,162.3,534.9,348.7,486.5,255.5,186.4,0.000,GREEN
276,1,438.8,162.4,534.2,348.8,486.5,255.6,186.5,0.000,GREEN
276,2,487.1,49.5,566.0,211.2,526.5,130.3,161.8,0.000,GREEN
277,2,487.1,49.4,565.8,211.1,526.5,130.2,161.8,0.000,GREEN
277,1,438.1,162.3,534.2,348.2,486.1,255.2,185.9,0.000,GREEN
278,1,438.9,162.4,533.6,349.0,486.2,255.7,186.7,0.000,GREEN
278,2,487.5,49.8,568.0,210.9,527.7,130.3,161.1,0.000,GREEN
279,1,439.6,163.2,533.2,348.1,486.4,255.6,184.9,0.000,GREEN
279,2,488.0,48.9,570.2,210.3,529.1,129.6,161.4,0.000,GREEN
280,2,489.0,48.8,570.4,210.0,529.7,129.4,161.2,0.000,GREEN
280,1,440.2,165.0,532.9,347.9,486.5,256.5,182.9,0.000,GREEN
281,2,489.3,49.0,570.9,210.3,530.1,129.6,161.3,0.000,GREEN
281,1,440.5,168.5,532.4,348.2,486.5,258.4,179.7,0.000,GREEN
282,2,489.3,48.9,570.9,210.3,530.1,129.6,161.4,0.000,GREEN
282,1,440.6,169.0,532.6,347.8,486.6,258.4,178.8,0.000,GREEN
283,2,489.3,49.1,570.9,210.6,530.1,129.8,161.5,0.000,GREEN
283,1,440.8,191.4,531.4,345.6,486.1,268.5,154.3,0.000,GREEN
284,2,490.3,49.0,570.6,210.8,530.5,129.9,161.8,0.000,GREEN
284,1,441.4,193.5,531.6,345.9,486.5,269.7,152.4,0.000,GREEN
285,2,491.3,49.0,570.3,210.5,530.8,129.7,161.6,0.000,GREEN
285,1,441.6,197.0,531.6,345.0,486.6,271.0,148.0,0.000,GREEN
286,2,492.3,48.8,570.1,210.6,531.2,129.7,161.8,0.000,GREEN
286,1,441.6,192.9,532.0,345.7,486.8,269.3,152.8,0.850,RED
287,2,492.3,48.9,570.1,210.5,531.2,129.7,161.7,0.000,GREEN
287,1,441.5,187.8,531.9,345.1,486.7,266.4,157.3,1.000,RED
288,1,440.9,189.4,532.0,345.8,486.5,267.6,156.4,1.000,RED
288,2,492.2,49.6,568.7,211.5,530.5,130.6,161.8,0.000,GREEN
289,2,491.9,49.7,568.7,211.1,530.3,130.4,161.4,0.000,GREEN
289,1,440.8,170.1,533.0,346.7,486.9,258.4,176.6,1.000,RED
290,1,440.7,169.2,533.1,347.1,486.9,258.1,177.9,1.000,RED
290,2,492.7,49.5,568.2,211.2,530.5,130.4,161.6,0.000,GREEN
291,2,494.5,48.5,569.3,210.4,531.9,129.5,161.9,0.000,GREEN
291,1,439.7,177.0,533.1,345.8,486.4,261.4,168.8,1.000,RED
292,2,494.5,48.5,569.3,210.4,531.9,129.5,161.9,0.000,GREEN
292,1,439.9,180.8,533.0,345.9,486.5,263.4,165.0,1.000,RED
293,2,494.6,48.4,568.8,210.5,531.7,129.4,162.1,0.000,GREEN
293,1,439.7,163.1,534.1,347.1,486.9,255.1,184.0,1.000,RED
294,2,494.5,48.0,569.0,210.8,531.7,129.4,162.8,0.000,GREEN
294,1,438.9,161.8,533.8,347.8,486.3,254.8,186.0,1.000,RED
295,2,494.8,47.9,568.1,210.5,531.4,129.2,162.6,0.000,GREEN
295,1,440.8,166.9,534.3,346.4,487.5,256.6,179.5,0.850,RED
296,2,494.8,47.7,566.8,210.1,530.8,128.9,162.4,0.000,GREEN
296,1,440.9,172.5,533.8,346.5,487.4,259.5,174.0,0.850,RED
297,2,494.9,47.8,567.3,210.1,531.1,128.9,162.3,0.000,GREEN
297,1,440.7,174.0,533.9,347.1,487.3,260.5,173.2,0.850,RED
298,1,440.7,176.0,534.1,348.4,487.4,262.2,172.4,0.850,RED
298,2,494.6,48.2,566.2,211.2,530.4,129.7,163.0,0.000,GREEN
299,2,494.6,48.1,567.0,211.5,530.8,129.8,163.4,0.000,GREEN
299,1,440.6,172.2,534.8,348.4,487.7,260.3,176.2,0.850,RED
300,1,440.6,170.8,535.5,348.4,488.0,259.6,177.6,0.850,RED
300,2,494.5,47.9,566.1,211.4,530.3,129.7,163.5,0.000,GREEN
301,2,494.4,47.8,564.9,211.8,529.6,129.8,164.0,0.000,GREEN
301,1,441.1,173.8,536.7,349.3,488.9,261.5,175.5,0.850,RED
302,2,494.5,47.8,564.8,211.7,529.6,129.7,163.9,0.000,GREEN
302,1,440.9,174.2,536.7,349.3,488.8,261.8,175.1,0.850,RED
303,1,441.3,175.8,537.0,349.1,489.2,262.5,173.3,0.850,RED
303,2,494.3,47.6,563.3,212.1,528.8,129.9,164.6,0.000,GREEN
304,2,494.2,47.5,562.8,212.2,528.5,129.8,164.7,0.000,GREEN
304,1,441.7,179.7,538.4,349.3,490.0,264.5,169.6,0.850,RED
